                  epoch,         train/pos_loss,        train/conf_loss,        train/dxdy_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,          val/conf_loss,          val/dxdy_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    147,                 2.0798,                0.18464,                0.28424,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002773,               0.002773,               0.002773
                    148,                 2.0547,                0.14847,                0.28245,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027235,              0.0027235,              0.0027235
                    149,                 2.0717,                0.18951,                0.26963,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002674,               0.002674,               0.002674
                    150,                 2.0458,                0.14598,                0.27367,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026245,              0.0026245,              0.0026245
                    151,                 2.0631,                0.19516,                0.24911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002575,               0.002575,               0.002575
                    152,                 2.0428,                0.16592,                0.25425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025255,              0.0025255,              0.0025255
                    153,                 2.0259,                0.12889,                0.25354,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002476,               0.002476,               0.002476
                    154,                 1.9829,                0.09478,                0.24879,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.9428,                0.05995,                0.24805,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002377,               0.002377,               0.002377
                    156,                 1.9451,                 0.0643,                0.24089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.9303,                0.05373,                0.22973,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002278,               0.002278,               0.002278
                    158,                 1.9539,                0.08679,                0.22063,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.9591,                0.09043,                0.20769,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002179,               0.002179,               0.002179
                    160,                 1.9496,                0.07856,                0.20487,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.9255,                0.05463,                0.19964,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                    162,                 1.8837,                0.03576,                0.19493,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.8584,                0.01857,                 0.1852,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001981,               0.001981,               0.001981
                    164,                 1.8316,                0.00861,                0.17644,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.8248,                0.00657,                0.16876,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001882,               0.001882,               0.001882
                    166,                 1.8153,                0.00345,                0.16167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018325,              0.0018325,              0.0018325
                    167,                 1.8089,                0.00294,                0.15477,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001783,               0.001783,               0.001783
                    168,                 1.8083,                0.00283,                0.14781,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017335,              0.0017335,              0.0017335
                    169,                 1.8059,                 0.0024,                0.14076,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001684,               0.001684,               0.001684
                    170,                 1.8033,                0.00284,                0.13456,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016345,              0.0016345,              0.0016345
                    171,                 1.8015,                0.00232,                 0.1276,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001585,               0.001585,               0.001585
                    172,                 1.7991,                0.00234,                0.12215,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015355,              0.0015355,              0.0015355
                    173,                 1.8003,                0.00292,                0.11625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001486,               0.001486,               0.001486
                    174,                 1.7982,                0.00654,                0.11062,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014365,              0.0014365,              0.0014365
