                  epoch,         train/pos_loss,        train/conf_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,          val/conf_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                 1.0878,                 3.6325,                      0,                      0,                      0,                      0,                      0,                      0,               0.002377,               0.002377,               0.002377
                    156,                 1.0747,                 3.5333,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.0725,                 3.3934,                      0,                      0,                      0,                      0,                      0,                      0,               0.002278,               0.002278,               0.002278
                    158,                 1.0842,                 3.3322,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.0779,                 2.8086,                      0,                      0,                      0,                      0,                      0,                      0,               0.002179,               0.002179,               0.002179
                    160,                 1.0764,                   2.65,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.0771,                 2.8326,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                    162,                 1.0751,                 2.7318,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.0545,                  2.523,                      0,                      0,                      0,                      0,                      0,                      0,               0.001981,               0.001981,               0.001981
                    164,                 1.0535,                 2.1466,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.0628,                 2.2077,                      0,                      0,                      0,                      0,                      0,                      0,               0.001882,               0.001882,               0.001882
                    166,                 1.0621,                    1.9,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018325,              0.0018325,              0.0018325
                    167,                 1.0487,                 1.8017,                      0,                      0,                      0,                      0,                      0,                      0,               0.001783,               0.001783,               0.001783
                    168,                 1.0347,                 1.6444,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017335,              0.0017335,              0.0017335
                    169,                  1.032,                 0.9763,                      0,                      0,                      0,                      0,                      0,                      0,               0.001684,               0.001684,               0.001684
                    170,                  1.017,                 1.1824,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016345,              0.0016345,              0.0016345
                    171,                 1.0063,                 1.0048,                      0,                      0,                      0,                      0,                      0,                      0,               0.001585,               0.001585,               0.001585
                    172,                0.99661,                0.86517,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015355,              0.0015355,              0.0015355
                    173,                0.97852,                0.81534,                      0,                      0,                      0,                      0,                      0,                      0,               0.001486,               0.001486,               0.001486
                    174,                0.95696,                0.63331,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014365,              0.0014365,              0.0014365
                    175,                0.93527,                0.34504,                      0,                      0,                      0,                      0,                      0,                      0,               0.001387,               0.001387,               0.001387
                    176,                0.91042,                0.21641,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013375,              0.0013375,              0.0013375
                    177,                0.88744,                0.10581,                      0,                      0,                      0,                      0,                      0,                      0,               0.001288,               0.001288,               0.001288
                    178,                0.86446,                0.07775,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012385,              0.0012385,              0.0012385
                    179,                0.84476,                0.07085,                      0,                      0,                      0,                      0,                      0,                      0,               0.001189,               0.001189,               0.001189
                    180,                0.82549,                0.05412,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011395,              0.0011395,              0.0011395
                    181,                0.80789,                0.03935,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                    182,                0.79167,                0.01795,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010405,              0.0010405,              0.0010405
                    183,                0.77765,                0.01098,                      0,                      0,                      0,                      0,                      0,                      0,               0.000991,               0.000991,               0.000991
                    184,                0.76463,                0.00692,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009415,              0.0009415,              0.0009415
                    185,                0.75316,                0.00306,                      0,                      0,                      0,                      0,                      0,                      0,               0.000892,               0.000892,               0.000892
                    186,                0.74123,                0.00475,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008425,              0.0008425,              0.0008425
                    187,                0.73161,                0.00225,                      0,                      0,                      0,                      0,                      0,                      0,               0.000793,               0.000793,               0.000793
                    188,                0.72248,                0.00127,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007435,              0.0007435,              0.0007435
                    189,                0.71338,                0.00114,                      0,                      0,                      0,                      0,                      0,                      0,               0.000694,               0.000694,               0.000694
                    190,                0.70538,                 0.0009,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006445,              0.0006445,              0.0006445
                    191,                0.69761,                0.00079,                      0,                      0,                      0,                      0,                      0,                      0,               0.000595,               0.000595,               0.000595
                    192,                0.69115,                 0.0008,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005455,              0.0005455,              0.0005455
                    193,                0.68405,                0.00074,                      0,                      0,                      0,                      0,                      0,                      0,               0.000496,               0.000496,               0.000496
                    194,                0.67801,                0.00065,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004465,              0.0004465,              0.0004465
                    195,                0.67208,                0.00063,                      0,                      0,                      0,                      0,                      0,                      0,               0.000397,               0.000397,               0.000397
                    196,                0.66674,                0.00064,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003475,              0.0003475,              0.0003475
                    197,                0.66121,                0.00065,                      0,                      0,                      0,                      0,                      0,                      0,               0.000298,               0.000298,               0.000298
                    198,                0.65645,                0.00064,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002485,              0.0002485,              0.0002485
                    199,                0.65192,                0.00056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.648,                    inf,               0.000199,               0.000199,               0.000199
